observed_date,source,market,canonical_fish_name,noryangjin_species_name,source_species_name,trade_state,origin,spec,package_unit,quantity,weight,high_price_krw,low_price_krw,avg_price_krw,source_url
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(선)참돔,선,일본,5미,kg,12,,5000,5000,5000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,일본,2미,kg,7.6,,22000,15000,17900,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,일본,1미,kg,2.4,,7000,7000,7000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,일본,6미,kg,51.3,,12000,12000,12000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(선)참돔,선,완도,1미,kg,2,,15000,15000,15000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(선)참돔,선,일본,4미,kg,117,,9000,1000,4700,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,동죽,(활)동죽,활,태안,대,box,7,,45300,40200,42100,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,만디,(선)만디,선,삼천포,소,box,10,,4000,4000,4000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,만디,(선)만디,선,마산,2봉,box,5,,5600,5600,5600,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,만디,(선)만디,선,마산,소,box,87,,5000,3700,4300,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,말백합,(활)말백합,활,강화,중,그물망,27,,47800,46300,46700,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,명태포,(냉)명태포,냉,러시아,12/15,CT/(BT),40,,89700,89700,89700,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,무늬오징어,(선)무늬오징어,선,포항,10미,S/P,20,,67900,67900,67900,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,무늬오징어,(선)무늬오징어,선,포항,10미,kg,12.7,,43000,43000,43000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,무늬오징어,(선)무늬오징어,선,포항,5미,S/P,13,,80000,77500,78800,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,무점매가리,(활)무점매가리,활,중국,9미,kg,6,,9000,9000,9000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,무점매가리,(활)무점매가리,활,중국,5미,kg,7.2,,14000,14000,14000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,무점매가리,(활)무점매가리,활,중국,6미,kg,7.9,,13000,13000,13000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,무점매가리,(활)무점매가리,활,중국,2/3미,kg,88.4,,22000,5000,14500,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,무점매가리,(활)무점매가리,활,중국,3미,kg,3,,6000,6000,6000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,무점매가리,(선)무점매가리,선,중국,14/15미,kg,15.5,,6000,6000,6000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,무점매가리,(선)무점매가리,선,중국,7미,kg,21.9,,7500,4500,6400,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,무점매가리,(선)무점매가리,선,중국,1미,kg,1,,5000,5000,5000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,문어,(선)문어,선,여수,중,box,1,,50100,50100,50100,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,물바지락,(활)물바지락,활,마산,대,box,5,,45500,45300,45400,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,물바지락,(활)물바지락,활,삼천포,1봉,box,2,,28000,18100,23100,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,물바지락,(활)물바지락,활,삼천포,2봉,box,34,,54100,38800,45100,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,물바지락,(활)물바지락,활,여수,2봉,box,81,,48600,25000,30400,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,미더덕,(선)미더덕,선,마산,소,box,25,,12000,6600,9300,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,미더덕,(선)미더덕,선,통영,소,box,3,,7000,7000,7000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(활)민어,활,진도,1미,kg,4.5,,57000,57000,57000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(활)민어,활,목포,1/2미,kg,1.7,,33000,33000,33000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,완도,5미,S/P,1,,451000,451000,451000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,완도,3미,S/P,1,,76200,76200,76200,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,군산,5미,S/P,4.6,,20000,20000,20000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,목포,중,kg,40.9,,40000,30000,38600,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,중국,1미,kg,3.4,,3000,3000,3000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,대천,1미,kg,20.2,,45000,45000,45000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,완도,7미,S/P,2,,675000,645000,660000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,제주도,3미,kg,14.5,,35000,35000,35000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(활)민어,활,고흥,1미,kg,38.7,,62000,48000,51900,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(활)민어,활,대천,1미,kg,5.5,,40000,32000,37100,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(활)민어,활,목포,1미,kg,115.7,,67000,37000,54600,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,완도,1미,kg,73.3,,40000,13000,34900,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,나로도,3미,kg,5.7,,27000,27000,27000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,목포,13미,kg,49.5,,26000,26000,26000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,목포,1미,kg,62.5,,42000,25000,37800,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
